"","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"54",63.891,1.746749282,19843,100,3996.436879,89.6,0.15,0.5309,3.13,2.8,1.01,14.34,23.6,44.84,0.41,85.96,4.1455,19.69,3.84,0.39,0.24,30.5,0.56,3.28,11.21,794.92712,11325573611.7018
"55",544.493,1.926970959,19104,99.9,4542.307106,87.9,1.45,0.84,3.68,3.09,0.992100000000001,14.99,28.65,45.55,0.47,88.7077,10.17,16.3317,4.4484,0.84,0.23,20.4,0.48,5.98,10.64,308.73276,19269923992.4758
"56",24.262,1.73521634345,58498,57.6,480.8514802,51.4,0.6232,0.1209,2.808,2.8189,1.1018,9.7288,15.1235,26.8382,0.5491,61.3769,1.5194,9.49310000000001,4.6151,0.5282,0.1143,15.4435,0.6028,2.27155795454545,8.94,124.56293,3.29e+09
"57",49.241,1.80339761855,62697,99.9,114.0747188,49.7,0.6163,0.1557,3.5656,3.4541,1.1668,9.796,14.3644,28.5662,0.6536,70.7846,2.053,11.5361,4.8305,0.6441,0.1772,15.9015,0.7048,2.60365962121212,9.07,23.163185,2.127e+10
"58",63.422,1.7347506464,29323,25,717.7162423,62.1,0.5098,0.1187,2.6913,2.5445,1.0781,9.76860000000001,14.8595,26.9776,0.4936,58.1852,1.4054,9.36170000000001,4.5852,0.4978,0.1146,14.0807,0.5913,2.36418295454545,8.9,411.42606,3.98e+09
"59",121.539,1.89617291337,19224,100,5356.811177,86.4,2.43,2.31,3.26,6.02,1.18,16.08,19.26,37.31,0,65.7688,11.74,17.8836,6.1,1.28,0.27,9.5,1.18,8,10.7,671.1239,18362153575.6553
"60",10.17,1.79461501481,58375,73.9,249.328504,49.7,0.656,0.1682,3.6167,3.5378,1.1571,9.68670000000001,15.4464,28.343,0.7906,68.4305,2.0537,10.8066,4.9144,0.6941,0.1601,15.7851,0.6723,2.49161795454545,8.08,90.020622,1.4816e+11
"61",56.893,1.81722765328,19627,100,2204.354384,87,1.38,0.08,2.74,3.6,1.23,13.67,16.18,25.76,0.57,66.5552,0.46,11.0942,6.07,0.74,0.25,11.62,1.32,4.21,10.34,781.69025,9167091270.72876
"62",204.571,1.79505168082,37079,30,443.9018463,55.7,0.6522,0.1876,3.5161,3.4772,1.1383,9.5699,14.0728,27.3912,0.6371,65.0659,2.1268,10.2503,4.9047,0.6183,0.158,14.8566,0.6511,2.82964295454545,8.89,247.54504,4.64e+10
"63",5.406,1.79461501481,72518,0.2,57.19135929,38.6,0.6511,0.1687,3.6378,3.5371,1.1571,9.67680000000001,15.4464,28.343,0.7906,68.9048,2.1962,10.8066,4.9349,0.6946,0.1585,15.8765,0.6711,2.21696795454545,7.76,31.166372,1.3984e+11
