"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","population_with_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","national_poverty_lines_jolliffe_and_prydz_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","stringency_index","income_support","debt_relief","containment_index","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","child_mortality_1950_2017_ihme_2018_x","life_expectancy","total_population_gapminder_hyde_un","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000"
"47",713.482,17.05914,13674280,7.4656134,8.4553857,19.9,5.354,421.89999,"3",45.71153,10638.8251,4.68,361.21,60.19,"1","2",67.38,29357,22.8,980.2299724,61.2,23.3928123285066,14.2421579325472,4.76697451141393,2.98981246999591,428.47943,2.73e+09,19.01,77.01,17888474,18.71902758,482.600317
"48",60.801,75.18362,88807929,15.9915285,19.8157674,32,4.472,183.12,"2",31.53395,11957.2122,6.18718112128245,434.015281500464,43.52,"1","2",44.17,35784,51.1,495.1650809,61,28.2764687841282,13.0810664805689,4.73085851330151,3.56135565348275,306.79916,1.337e+10,20.39,71.99,104258327,130.7361091,3677.334182
"49",148.315,41.0972,4734359,9.3025743,10.6596175,24.6,5.462,311.87,"2",38.77876,8598.1982,5.42,302.99,32.41,"1","0",43.21,36007,21.6,578.4609406,64.4,27.7077471014751,10.432417447852,4.49801758176859,3.10877915818783,161.16724,3.15e+09,13.49,73.317,6518500,50.26929982,1314.068875
"50",59.16,60.8273244407046,875665,9.4867882,9.1859882,8,4.73907509648014,194.344589113963,"3",41.3341583066859,28528.953,2.75668796241185,175.846207480059,51.713057365865,"0","0",55.9002475923576,82201,37.930645477494,789.5788502,48.4,66.3899701245134,0,0,3.65686535234832,568.37732,8.8e+08,59.16,58.735,1449891,82.72189349,3607.455621
"51",55.03,0.7833411,1278576,7.7077688,6.5439834,21.2,6.453,885.83002,"4",30.32145,27408.6649,11.07,701.86,23.15,"0","0",34.52,26242,92.9,1886.814387,81.4,22.77,10.45,5.15,4.69,429.6655,8303066115.06029,3.18,78.745,1325188,108.1492765,2119.421173
"52",12.569,87.36121,27964449,5.7992061,5.0238509,4.5,4.549,110.12,"1",34.99312,1838.4903,1.8,87.56,43.52,"0","0",52.14,54964,23.4622270430207,65.60194586,44.2,0,0,0,1.7133227787071,24.804361,3.9209e+11,60.58,66.597,117876226,68.58669779,2853.959815
"53",2.231,28.74499,812748,15.946039,18.8754833,30.2,5.71068194253035,227.06,"3",36.6966,22962.5052999869,4.49,238.97,86.11,"1","2",80.36,39681,100,331.3576231,46.6,25.2408756854779,10.7210864706903,4.53510048159186,3.74427185671591,70.953873,1.428e+10,27.9,67.444,902899,35.98654709,1177.017937
"54",63.891,0.09872849,5348022,6.4035424,4.3160987,22.2,7.889,1501.48,"4",27.32977,38896.7005,26.06,1501.11,38.43,"2","1",50.3,19843,100,3996.436879,89.6,44.84,19.69,3.84,3.28,794.92712,12152674164.1972,2.4,81.908,5548361,72.83300018,1256.351081
"55",544.493,0.0396873,65757955,7.4588522,4.425538,21.6,6.714,1621.01,"4",32.38069,38515.9193,24.69,1597.81,60.65,"2","0",68.45,19104,99.9,4542.307106,87.9,45.55,14.8053793852006,5.01704117636127,5.98,308.73276,21620030039.9153,4.25,82.659,65426177,104.5112085,1771.213411
"56",24.262,32.0472,808743,10.0069996,9.9846067,15,4.914,295.5,"3",38.02437,17613.5564,3.63,210.08,67.59,"0","1",63.57,58498,57.6,480.8514802,51.4,41.9173817043562,0,0,3.23202826497073,124.56293,3.29e+09,40.51,66.467,2278829,67.13043478,2018.608696
"57",49.241,73.06253,1164801,9.4400826,7.9299876,10.3,5.164,149.91,"1",35.91883,1882.2399,2.45,97.16,24.07,"0","1",42.26,62697,99.9,114.0747188,49.7,0,0,0,1.49927821449847,23.163185,2.127e+10,51.2,62.05,2486937,97.38824711,4120.793571
"58",63.422,25.3145718285267,3207857,13.278765,12.0605641,21.7,5.123,237.52,"2",35.94862,11984.9049,1.89,200.07,64.81,"1","0",66.55,29323,25,717.7162423,62.1,26.4701305476759,9.66076500972028,4.93142689158542,4.86837893343151,411.42606,3.98e+09,12.34,73.767,3979773,161.5,3160.375
"59",121.539,0.2406784,81033118,6.0163501,3.9049721,22.3,7.312,1637.79,"4",31.87067,46177.6187,26.39,1605.69,59.26,"2","0",67.86,19224,100,5356.811177,86.4,37.31,17.0470127095353,6.1,8,671.1239,12542095710.1759,3.88,81.326,83900471,153.605818,2621.396936
"60",10.17,60.90227,4109840,6.4065812,6.6002139,10.9,5.319,199.55,"2",43.52088,4267.0667,2.23,131.42,42.59,"0","0",43.57,58375,73.9,249.328504,49.7,0,18.2299927080029,6.21999751200099,1.98791380136608,90.020622,1.4816e+11,62.76,64.074,31732128,90.06203102,3385.14083
"61",56.893,2.895735,10712674,7.2485658,6.015919,24.9,5.788,662.25,"4",32.89121,23450.7658,12.85,680.16,48.61,"2","2",58.99,19627,100,2204.354384,87,25.76,14.4130645477436,6.07,4.21,781.69025,12680398388.1373,4.92,82.239,10370747,149.9863076,2426.21634
"62",204.571,32.3726110441539,10385302,8.933383,10.3592865,21.2,6.262,259.89999,"2",48.27859,7402.1146,5.51,257.19,52.78,"0","2",57.5,37079,30,443.9018463,55.7,28.4744782930306,11.7526387238075,4.34187691437225,3.43400359253407,247.54504,4.64e+10,26.83,74.302,18249868,33.19464194,1084.084996
"63",5.406,90.28445,2430398,6.7504811,6.0544232,7.7,4.768,87.300003,"1",33.7297,1606.4666,2.53,87.3,62.04,"0","0",67.62,72518,0.2,57.19135929,38.6,0,0,0,2.81205567736066,31.166372,1.3984e+11,103.06,61.602,13497237,96.64524573,4556.911368
"64",20.833,92.62132,368269,7.3624409,6.8439213,9.5,4.46050667627882,69.18,"1",50.66424,1501.4136,2.01,69.18,41.8339998698247,"0","0",48.8497293421109,83441,1.6,100.2957262,36.3,66.3899707884129,0,0,13.0499942580025,37.274281,1.847e+10,80.62,58.322,2015490,115.9978308,4966.64859
"65",151.292,39.30348,643246,9.0633936,12.596474,20.2,5.993,202.89,"3",45.11814,13106.9262724681,4.09959988299257,202.89,60.19,"1","1",68.81,55470,23.8,336.1484296,49.8,21.2455263554685,2.9899987741005,4.20932491191557,3.02765652638273,136.16254,1.79e+09,28.64,69.906,790329,57.49674055,1838.461538
"66",20.346,82.16744,2956253,8.5517711,8.7666628,22.7,3.615,104.7,"1",41.10377,1729.0432,2.15,104.7,53.7,"1","1",63.21,61717,3.1,120.1457421,38.5,30.7439562518562,17.4899947530016,4.65124575122283,4.03076652057874,43.579815,5.685e+10,63.54,64.001,11541683,59.09812342,2292.437681
"67",266.442,48.85315,7401645,8.4891994,9.972857,21.4,5.93,239.57001,"2",48.16817,5041.6354,6.43,236.33,76.85,"1","2",72.38,33106,12,353.3645701,53.9,32.9856629339881,10.3644445750847,4.1050867497311,3.09295999444299,173.59322,3.594e+10,15.92,75.27,10062994,26.15479876,727.2198142
"68",163.348,3.021302,9646167,8.9001676,6.6882506,26.4,6.038,650.71997,"4",29.61204,25622.8123,9.59,568.43,27.78,"0","1",44.05,28707,100,1912.069053,79.6,16.86,11.8,5.68,7.02,555.2157,11630064236.011,5.23,76.875,9634162,188.4018265,3809.518011
