"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"131",1.346,32.215,1085.342,5.40175557056044,249.44,190,2.032,221,2650,155.512,2.781,30226.886,2976937,2,70.37
"132",0,0,0.782,16.6666666666667,13.49,NA,1.19,83,7,0,0,65.72,1496847,0,49.07
"133",1.774,30.704,628.669,-8.03937653814603,80.12,74,2.191,179,1327,135.015,2.524,8490.255,5882259,0,49.07
"134",1.794,25.416,557.415,-8.76191421763304,438.68,209,3.838,224,34257,58.322,1.82,27068.457,23909023,1,67.59
"135",2.148,6.215,112.875,-22.9921553978334,122.2,213,1.89,227,7053,13.816,0.128,3405.186,75168389,0,63.43
"136",2.592,40.004,2316.985,53.140881228061,35.3,209,1.647,227,4615,430.686,3.488,7404.337,36922792,2,38.89
"137",1.59,25.596,2029.675,41.607937050975,65.58,217,1.905,228,2371,323.536,2.746,12203.155,10327002,2,58.33
"138",0.422,3.471,605.68,13.3853151397011,477.23,NA,0.175,230,230,89.203,0,45708.524,2431908,0,50
"139",2.638,54.009,1609.445,20.0403210173303,52.35,212,3.026,225,6574,245.56,5.406,11291.173,15674045,1,38.43
"140",2.129,24.826,795.83,10.1292469916648,70.95,203,1.718,225,26589,113.407,2.193,10605.953,104037940,0,30.09
"141",1.754,0.232,6.717,-2.24719101123596,71.74,NA,0.688,136,35,0.849,0.077,392.52,7163805,2,54.63
"146",0,0,2534.033,514.285714285714,86.29,NA,4.93,218,42,0,0,25104.603,NA,2,38.89
"147",0,0,36.503,100,30.14,NA,1.594,176,15,0,0,4293.647,67857,NA,NA
"148",3.89,6.951,76.493,-7.50260507120528,229.82,173,1.542,226,5329,11.461,0.46,9927.969,31557144,1,53.7
"149",1.274,0.418,6.689,-26.3157894736842,668.54,NA,2.068,189,322,0.358,0,929.949,7129049,0,19.44
"150",1.701,4.556,627.811,166.666666666667,183.34,116,1.952,222,798,154.748,0.735,6007.704,6839949,1,36.11
"152",3.571,0.251,1.755,-48.1481481481481,152.84,NA,3.149,171,74,0.501,0,294.598,962524,0,43.98
"153",0,0,10.085,59.4594594594595,57.18,NA,0.048,223,28,1.197,0,9910.53,5535002,2,47.22
"154",1.025,21.064,2684.425,39.3950922579418,20.47,10,0.382,220,176,165.029,2.015,8435.716,5358715,2,43.98
"155",0.924,21.646,5352.748,112.204424103738,35.25,NA,0.75,229,192,732.588,1.924,12315.458,2044959,1,29.63
"157",2.521,0.315,3.209,96.1538461538461,107.09,NA,2.639,196,104,0,0,247.967,2915110,1,35.19
"158",3.526,17.282,194.693,-1.86963542109289,362.44,194,2.654,223,19053,18.412,0.759,12103.639,36527953,1,51.85
"159",1.943,0.449,14.083,34.9532710280374,238.61,NA,1.763,251,461,2.009,0.02,509.975,51014947,1,50.93
"160",1.563,0.089,3.841,-12.2448979591837,115.41,NA,1.938,172,56,0.625,0,258.18,796103,0,25
"161",1.508,44.787,2746.585,39.2254651112364,133.39,231,3.161,239,35298,393.928,5.711,23885,46401249,2,47.69
"162",0.844,0.28,142.855,295.730918499353,8.8,NA,0.214,191,19,21.342,0.14,414.23,19938666,2,81.48
"163",4.348,0.023,0.935,24.2424242424242,1739.45,178,6.081,192,837,0.41,0,313.916,8906147,0,19.44
"164",1.923,6.819,73.3,-40.2777777777778,114.37,NA,2.14,138,111,11.932,1.705,8841.97,438141,0,81.48
"165",0.278,2.475,922.74,61.9006254343294,4101.01,218,5.111,236,5918,91.294,0.099,11464.69,9730592,1,37.04
"166",0.711,14.097,4722.912,99.965755100044,74.64,221,1.518,236,1929,735.099,1.849,14679.1,8274114,0,40.74
