"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"124","Nigeria",5.506,1.3811754,2.114463238,3.388323049,23.35485848,35.75432177,57.29453717,44.86684,69.88703,89.12486,85638823.05,133395688.1,170115571.2,52542706,128639038
"125","North Korea",8.812,0.28486552,2.514906339,3.2009921,59.09355178,140.4377844,176.2589206,8.464884,80.15421,90.04419,4315438.805,24346826.82,26987093.89,20674768,4569149
"126","North Macedonia",56.893,0.741783281,3.019520007,3.690535055,9.705311515,39.50666324,48.28606045,2.337817,13.93327,18.23828,48673.25643,290090.1241,379720.2601,1496847,125268
"127","Norway",51.649,1.084304198,2.753281206,3.458190307,14.52968225,36.89398339,46.33976923,0.222648,0.3605376,0.4563593,11749.06371,19025.45378,24081.93423,5090023,98584
"128","Oman",235.576,1.12991063,3.407425561,4.771648186,17.14388809,59.95272863,62.90662372,0.01160897,2.204791,25.60362,207176.9541,373904.2902,1777630.466,4061216,138594
"129","Pakistan",30.599,0.767463234,1.94525909,3.827949612,20.90436108,52.9854677,104.2666766,0.04515375,24.10479,75.2726,93873.14985,50113059.58,156489240.9,120256626,69123887
"130","Palau",93.334,0.788297947,3.019520007,3.932199898,14.52968225,34.90636262,63.48245473,0.1003027,0.9513059,2.729918,29483.48216,1844.693527,1327312.851,21288,0
"131","Panama",614.17,1.127964567,3.223740157,4.876472158,13.78461908,39.39665427,59.59434641,1.85989,11.42699,19.78807,76381.42315,469280.3115,812650.7202,2976937,992312
"132","Papua New Guinea",0.782,0.772870191,2.883112817,5.056987635,7.803701639,25.43041726,29.7129538,0.7519175,4.925115,7.340323,8825.577048,71324.32286,630756.6251,1496847,6422978
"133","Paraguay",186.049,0.949812696,3.886502873,3.603425935,16.1907157,66.25018108,61.42478945,0.1282366,17.94588,15.44793,8806.086829,1232354.706,1060818.931,5882259,756860
"134","Peru",1038.977,0.91506283,2.239451954,3.591001371,20.64388293,50.52219634,81.01324794,1.298749,10.30363,22.43048,408382.4928,3239904.019,7053106.75,23909023,7467648
"135","Philippines",64.363,1.157734234,2.819760223,4.07534677,17.63895856,42.96118423,62.09099695,3.313564,42.61489,64.24689,3484983.414,44819470.76,67570551.23,75168389,26547970
"136","Poland",121.94,0.397012866,1.961194354,3.097216182,5.196970716,25.67239122,40.5431238,0,0.02204507,0.449238,0,8371.576974,170597.3488,36922792,1063620
"137","Portugal",232.526,0.417757991,1.863018265,2.688893108,4.616332218,20.58682641,29.7129538,0.1087342,0.465337,0.9322764,11199.9488,47931.10701,96027.26603,10327002,31074
"138","Qatar",79.832,0.387426943,2.130181041,2.768451443,7.843800554,35.75432177,46.33976923,0,0.3475719,1.027703,27.27985227,220318.2031,5438.176508,2431908,49631
