"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019","total_confirmed_deaths_due_to_covid_19_per_million_people.y","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"166","Suriname",189.215,10.946402,13.5358311,13.4875486,0.48,0.21,3.093831384,10.47416438,12.03313449,34.5043551,13.2,35.76,331.98,120.76,45.27,24.15,20.81,126.09,26.27,0.38,2.57,140.51,2.86,26.4,18.9,33.7,189.215,1.12991063,2.736463189,5.497522295,NA,NA,NA,17.63895856,44.37649658,84.40615377,2.950878,11.42699,18.23828,0,41175.26814,1609194.299,438141,115067,189.215,6.269
"167","Sweden",585.983,5.8450484,3.9519066,5.9741604,0.22,0.08,16.09295052,1.111636484,0.870630825,1.148181102,20.27,40.27,166.31,35.6,6.45,20.67,6.35,20.46,9.59,0.06,0.22,134.55,4.29,20.6,23.1,18.1,585.983,0.822322346,2.502307275,2.889616398,68.69860871,209.0482268,241.4048787,11.10858749,33.80316664,39.03524782,0.1356052,0.3259973,0.3404294,13638.76149,32787.82392,34239.36096,9730592,68594,585.983,7.314
"168","Switzerland",222.887,5.2982009,2.8276539,4.3539265,0.29,0.11,4.994817772,0.444491847,0.317360396,0.42873377,31.85,43.39,130.34,24.76,7.72,17.62,6.87,20.54,9.92,0.65,0.2,120.55,4,19.5,22.2,16.9,222.887,0.422059823,2.123611479,2.45778473,35.25980145,177.4111511,205.3287159,5.577981123,28.06584301,32.48230717,0,0.02182594,0.02182594,0,1844.693527,1844.693527,8274114,8282,222.887,7.508
"169","Syria",15.714,13.9683956,15.2886327,12.6454502,0.32,0.14,2.014161609,0.356202074,0.49047036,1.47972572,30.5,48.87,432.24,60.34,23.78,31.29,12.48,48.55,7.67,0.06,1.79,67.4,3.43,27.8,20.9,34.8,15.714,0.987348298,2.611167317,3.719799844,NA,NA,NA,7.771650708,33.11874072,41.31834865,0,7.515299,22.39919,76381.42315,138881.6296,143221.1227,17929383,805604,15.714,3.462
"170","Tajikistan",8.493,10.2708067,9.9071062,7.597814,0.53,0.16,4.808756272,2.620079653,8.336876216,9.29212759,6.48,27.4,515.37,154.33,11.63,47.15,28.61,37.83,10.94,1.53,4.82,83.38,3.47,14.2,11.6,16.7,8.493,0.911056262,2.344516378,3.217305785,76.11163426,195.8660299,268.7807673,36.19254302,93.13805678,127.810414,0.7854215,16.24259,34.01277,69747.53413,1442385.522,3020425.13,8121218,427433,8.493,5.373
"171","Tanzania",0.352,6.0174174,6.1468618,4.455715,0.6,0.17,1968.689517,181.5023339,252.407751,336.3384242,2,40.72,327,79.07,13.25,40.71,29.07,66.93,41.64,5.21,20.03,146.77,2.6,8.4,4,12.7,0.352,0.993807355,1.943333143,2.670800338,83.02484168,162.3503044,223.1245061,37.34486265,73.02573176,100.3621791,31.10177,71.84402,84.53875,17001442.32,39272747.56,46212182.83,8405273,45474684,0.352,3.786
"172","Thailand",0.845,8.2871193,8.7565508,10.1013816,0.7,0.21,532.4150149,10.32338007,2.470732738,42.86874096,15.92,45.4,132.19,48.19,28.12,32.73,15.63,64.99,13.62,0.49,1.48,129.54,3.35,10,7,12.7,0.845,1.046140589,2.883112817,5.012801356,87.39687457,240.8615553,418.7803973,17.28115243,47.62601951,82.80625501,0.002042557,2.216301,19.70135,1413.650799,1533898.775,13635276.36,63851568,4806032,0.845,5.885
"173","Timor",341.725,5.3768121,5.5188259,4.1040317,2.57,0.41,11.48064684,27.76697859,89.37614581,112.4207872,22.15,52.43,329.97,117.57,17.62,65.42,16.14,48.09,27.29,0.85,2.69,96.56,3.09,3.8,2.6,4.9,321.251,1.100676758,4.057104501,4.284558679,NA,NA,NA,21.90721089,83.24775401,103.8783133,0.2792233,54.69082,38.11414,0,1778692.011,4601890.219,503837,737140,437.855,6.488
"174","Togo",6.523,7.252472,7.0262178,4.9975307,0.71,0.2,219.2836653,168.2380822,240.6494584,328.9220372,2.4,34.13,386.86,123.71,18.84,56.29,34.26,71.77,39.43,4.32,20.51,145.27,2.26,8.4,3.9,12.5,6.523,1.938657561,2.309871612,6.206968342,161.959696,192.9717303,518.5437211,143.9768989,171.5455881,460.9684924,66.35256,74.28932,97.28955,5108135.243,5719144.728,7489811.684,860349,6556453,6.523,4.179
"175","Tonga",6.716,21.911042,26.3599192,24.5182123,0.3,0.18,0.186551936,4.373741167,12.38767131,32.31873474,11.6,49.38,274.78,83.93,61.85,66.87,18.7,228.38,42.24,8.97,8.57,189.7,2.6,48.2,41.4,54.5,28.542,0.560815752,2.450969495,3.763333674,NA,NA,NA,7.843800554,31.57899822,46.78276397,0.06272282,0.3605376,0.3128131,107.174333,14616.84879,127761.1958,96791,9573,167.088,7.508
"176","Trinidad and Tobago",75.742,10.4106402,12.9583853,14.0860047,0.72,0.29,2.02676184,2.123761395,2.734890654,8.582152476,14.89,32.12,304.78,80.09,30.11,19.5,12.6,168.86,20.62,0.3,1.24,130.92,2.73,18.6,10.8,26,75.742,1.008387702,3.134152422,4.08868259,84.24291577,261.8339534,341.5774929,12.85923731,39.96757366,52.14000489,0.1681227,3.472017,7.340323,2326.939216,48055.21513,101595.3554,1244484,115608,75.742,6.192
"177","Tunisia",83.174,12.1266469,12.8581778,12.6824945,0.36,0.16,10.38189492,1.66781857,2.672921392,6.941033689,27.1,53.92,282.73,65.66,31.6,27.33,12.18,67.66,8.79,0.44,0.91,105.1,3.68,26.9,19.1,34.3,83.174,0.603618059,1.881483827,3.447835621,50.42757388,157.1832772,288.0397344,11.11575981,34.64794,63.49265403,0,1.57308,13.31939,0,179857.2051,1522864.864,10326673,946988,83.174,4.731
"178","Turkey",117.976,13.0451608,14.1696724,14.205187,0.41,0.19,31.97276294,0.686735894,0.850976701,3.314287001,44.1,56.98,193.37,39.38,20.59,37.57,7.08,54.35,7.19,0.7,0.62,112.72,3.48,32.1,24.4,39.2,117.976,0.734378871,2.370504554,3.440223518,61.35161827,198.037139,287.4038026,9.986639878,32.23591562,46.78276397,0,2.007663,6.668437,0,1628252.678,5408228.574,74279627,3991845,117.976,4.862
"179","Turkmenistan",235.576,12.3522917,11.9818717,10.3663717,0.38,0.13,0.392719106,0.261418361,1.050438027,1.297495283,18.3,25.88,602.58,139.15,24.91,14.27,54.07,51.27,8.91,1.45,1.62,85.46,3.61,18.6,15.9,20.9,585.983,0.303741478,1.863018265,2.688893108,NA,NA,NA,4.317916748,25.67239122,38.30058588,0.5017389,0.02182594,0.5476114,0,419443.9779,605.2049781,3015936,1794169,186.049,5.474
"180","Tuvalu",6.716,23.2480556,24.2970242,23.8471629,0.34,0.22,28.11222577,24.86748244,108.7332141,158.6960986,52.04,44.47,830.19,245.88,61.85,138.8,26.75,459.95,40.5,4.19,1.5,147.98,2.87,51.6,47,56.2,92.355,0.772870191,2.450969495,3.561060854,NA,NA,NA,8.387502822,27.3928695,45.54307174,0.002042557,7.515299,17.93763,0,0,3671731.522,9012,1807,13.678,4.451
"181","Uganda",2.252,4.4017746,4.736887,2.9922044,0.79,0.17,1041.240813,186.7924903,276.9623662,353.5036094,3.3,39.2,306.9,100.29,14.65,50.43,30.96,73.48,50.53,4.33,23.58,179.41,2.21,5.3,1.8,8.6,2.252,0.648064841,1.799356803,3.000061375,54.14075527,150.3222058,250.6316938,42.58860861,118.2475855,197.1537903,7.880419,60.01055,81.69172,3243774.713,24701821.64,33626325.65,7667670,32477200,2.252,4.641
"182","Ukraine",150.685,7.4189136,7.1748896,9.7013798,0.25,0.11,5.146238766,0.10966075,0.533548982,0.698431063,47.16,27.65,593.07,115.9,3.73,19.56,28.92,11,11.96,0.31,0.96,126.22,3.87,24.1,22,25.7,150.685,0.382520329,2.901042564,4.686519279,NA,NA,NA,86.72748077,171.5455881,263.5025157,0.4951231,36.95931,48.85315,13638.76149,23497.44104,660723.2733,43302714,1851315,150.685,5.27
"183","United Arab Emirates",48.734,15.0211902,15.402467,8.4996671,0.67,0.3,1.350489119,3.99414076,1.063550985,18.30741875,12.7,46.89,339.84,89.9,39.1,36.77,11.37,94.72,9.29,0.61,2.98,98.2,4.21,31.7,27.5,41,48.734,0.911056262,2.344516378,3.763333674,NA,NA,NA,13.88320642,91.9150918,118.7355716,0.5847719,6.444023,9.337595,469.878016,818306.0213,96027.26603,8934599,219703,48.734,6.458
"184","United Kingdom",668.253,6.6201465,4.9460228,6.9210203,0.16,0.07,30.49522397,0.366635441,0.067848447,0.437691099,37.58,41.6,145.01,36.6,5.26,37.1,10.64,18.3,15.72,0.07,0.4,158.8,4.11,27.8,26.9,28.6,668.253,0.265348333,1.539730769,1.887692082,22.16778056,128.6324786,157.7019283,4.963690084,28.80269213,35.31176681,0.1003027,0.3433783,0.4246,66258.81917,226831.787,280485.9153,64607830,521031,668.253,6.798
"185","United States",684.958,8.1696543,6.4363376,8.346949,0.29,0.16,198.1417956,0.59985371,1.358913223,0.700704397,44.11,42.14,176.43,34.28,16.46,38.71,14.14,41.69,10.49,0.25,0.4,145.11,5.07,36.2,35.5,37,684.958,0.9044263,2.21435,2.974152331,75.55775272,184.9916458,248.4671956,12.8980859,31.57899822,42.41459171,0.9991196,1.499683,1.499683,3246994.217,4873752.881,4873752.881,320896618,0,684.958,7.028
"186","Uruguay",15.545,9.1377699,9.7827532,11.9341041,0.21,0.1,7.202059673,2.012371296,1.537653779,11.13608714,46.16,29.37,185.95,62.21,14.4,38.5,11.87,42.13,18.53,0.19,0.4,190.63,4.86,27.9,24.9,30.6,15.545,0.694181218,2.128675062,2.961332191,57.99341841,177.834174,247.396173,9.391300947,28.79799626,40.06268259,0.02453968,0.3399476,1.307074,843.3419311,11682.7956,44919.50634,3308016,123536,15.545,6.31
"187","Uzbekistan",16.642,10.4833885,10.7044365,9.0691813,0.45,0.15,1.328324469,0.169033263,0.804396406,0.703753715,10.98,26.49,696.86,112.58,15.86,24.2,48.17,53.67,9.1,0.91,1.09,80.62,3.53,16.6,13.8,19,16.642,0.91506283,2.551728019,4.189361766,NA,NA,NA,8.162351323,36.77588985,55.31587313,1.150285,36.85344,60.1921,0,0,689809.5975,31298900,0,16.642,6.154
"188","Vanuatu",16.282,15.7220979,15.9942814,13.2630981,0.73,0.31,3.293144721,44.15278525,108.7332141,145.6851937,12.7,47.77,685.22,219.21,69.75,128.34,23.15,209.06,35.34,1.78,3.69,139.97,2.7,25.2,20.2,30.1,8.493,0.986364173,2.569921043,3.967124844,NA,NA,NA,25.7623364,52.4092351,112.8921358,9.432848,42.61489,73.06253,3246994.217,13002262.99,19861604.39,153205,111398,23.549,5.123
"189","Venezuela",27.43,9.9360777,8.9778599,8.4720032,0.49,0.19,61.22011846,4.525401616,5.946327254,19.07354099,16.86,38.35,231,47.37,34.95,27,15.6,80.11,14.29,0.66,1.12,120.47,2.49,25.6,22.4,28.6,27.43,0.759638581,2.588742379,3.182589661,NA,NA,NA,15.2863986,48.13847789,82.80625501,0.166441,7.921777,45.437,30042.19426,2614.075175,629803.0491,29410446,1744688,27.43,4.574
"190","Vietnam",0.36,5.5387413,5.1369106,5.0445686,3.16,0.34,379.9272853,9.14095489,13.83622536,26.8375064,27.4,52.3,277.86,131.85,26.19,50.08,23.98,68.15,15.57,1.02,1.03,158.41,3.11,2.1,1.6,2.6,0.36,0.974507314,2.513795511,4.306775634,81.41247403,210.0079792,359.7974631,28.58516223,73.73700685,126.3303809,0.4951231,10.18864,32.01523,468369.8264,9638111.305,30285332.51,71536374,20176926,0.36,5.467
"191","Yemen",20.117,12.5919634,10.1444687,7.051236,0.38,0.12,84.73164561,15.63120325,25.32104073,40.94772382,3.8,52.59,540.3,150.32,39.37,59.2,17.35,84.81,18.2,0.89,2.14,104.65,3.32,17.1,12,22,20.117,0.577231411,2.25840429,3.591001371,NA,NA,NA,25.7623364,52.4092351,112.8921358,3.431858,15.29894,27.84136,16591.73589,1628252.678,3786400.267,13277013,11632956,20.117,4.197
"192","Zambia",18.93,6.4647059,6.6852064,4.3618839,0.66,0.18,597.1407001,231.4820379,332.3755908,443.2844443,6.3,41.2,393.06,111.5,17.28,55.51,47.66,81.49,64.98,7.25,31.73,168.44,2.42,8.1,3.6,12.4,18.93,1.278012074,2.379476799,3.306079267,106.767926,198.7867,276.1970983,75.42884391,140.4377844,195.1262762,57.78896,77.14788,84.97017,9739571.017,13002262.99,14320607.34,7068158,9032429,18.93,4.838
"193","Zimbabwe",16.282,6.5137745,7.5606705,5.2168611,0.33,0.12,298.6722588,114.0073002,156.9460492,228.646911,12.1,44.94,305.49,95.86,36.55,65.02,17.54,137.55,56.25,0.9,17.75,245.77,2.62,15.5,4.7,25.3,16.282,0.774647423,2.29716701,3.967124844,64.71574124,191.9103601,331.4222928,34.26312295,101.6050831,175.4683258,8.090322,63.16433,82.59679,1151798.513,8992544.593,11759094.37,5806102,9971349,16.282,3.16
