"","Entity","Share of people who disagree vaccines are important for children to have","Share of people who agree vaccines are safe","Share of people who disagree vaccines are safe","Share of people who agree vaccines are effective","Share of people who disagree vaccines are effective","Share of people who agree vaccines are important for children to have","Standard deviation of life satisfaction","All causes - Disability Adjusted Life Years (WHO (2015))","Share of population covered by health insurance (ILO (2014))","Public Expenditure on Health (Tanzi & Schuktnecht (2000))","Health Expenditure and Financing (per capita) (OECDstat (2017))","Current health expenditure per capita, PPP (current international $)","Health expenditure per capita, PPP (World Bank (2016))","HAQ Index (IHME (2017))","Beds in for-profit privately owned hospitals (number) (OECD)","Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in not-for-profit privately owned hospitals (number) (OECD)","Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in publicly owned hospitals (number) (OECD)","Beds in publicly owned hospitals (per 1,000 population) (OECD)","Acute care beds (number) (OECD)","Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)","Dentists (headcount) (OECD)","For-profit privately owned hospitals (number) (OECD)","For-profit privately owned hospitals (per million population) (OECD)","General hospitals (number) (OECD)","General hospitals (per million population) (OECD)","Hospitals (number) (OECD)","Hospitals (per million population) (OECD)","Long-term care beds (number) (OECD)","Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)","Midwives (headcount) (OECD)","Midwives (per 1,000 live births) (OECD)","Not-for-profit privately owned hospitals (number) (OECD)","Not-for-profit privately owned hospitals (per million population) (OECD)","Nurses (per 1,000 population) (OECD)","Nurses (headcount) (OECD)","Physicians (per 1,000 population) (OECD)","Physicians (headcount) (OECD)","Psychiatric care beds (number) (OECD)","Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)","Psychiatrists (headcount) (OECD)","Publicly owned hospitals (number) (OECD)","Publicly owned hospitals (per million population) (OECD)","Surgical specialists (per 1,000 population) (OECD)","Surgical specialists (headcount) (OECD)","Hospital beds (number) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)","Healthy Life Expectancy (IHME)","Life Expectancy (IHME)","Years Lived With Disability (IHME)","Public expenditure on health per capita in developing countries (PPP) (World Bank (WDI) (2017))","Health","Old Age","Out-of-pocket expenditure per capita on healthcare (PPP USD) (WHO Global Health Expenditure)","Percentage of persons without health insurance (%)","How much we think we spend on health expenditure (IPSOS (2016))","How much we actually spend on health expenditure (IPSOS (2016))","Public expenditure on health %GDP (OWID extrapolated series)","Total gross official disbursements for medical research and basic heath sectors","BCG immunization coverage among 1-year-olds (WHO 2017)","Hepatitis B (HepB3) immunization coverage among 1-year-olds (WHO 2017)","DTP3 immunization coverage among 1-year-olds (WHO 2017)","Polio (Pol3) immunization coverage among 1-year-olds (WHO 2017)","Measles (MCV) immunization coverage among 1-year-olds (WHO 2017)","Number of confirmed tetanus cases (WHO 2017)","Number confirmed polio cases (WHO 2017)","Number of confirmed pertussis cases (WHO 2017)","Number of confirmed measles cases (WHO 2017)","Number of confirmed diphtheria cases (WHO 2017)","Estimated deaths due to tuberculosis per 100,000 population, excluding HIV (WHO 2017)","Estimated number of deaths due to tuberculosis, excluding HIV (WHO 2017)"
"176","Low & middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510.8287995,459.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.92151598,94.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Low SDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.64,63.02,8.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Low-middle SDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.96,67.83,8.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.0621355,234.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Luxembourg",4.617740176,70.82599285,12.3730704,81.22242945,6.910708635,88.74889694,NA,18648,97.6,NA,"6758.7884",6381.507524,6518.22,89.3,NA,NA,NA,NA,NA,NA,2251,3.7,1.23,736,1,1.71,4,6.58,10,16.45,0,0,0,441,71.47,6,10.28,24.27,14471,4.19,2497,451,0.74,0.21,128,5,8.57,0.68,406,2740,NA,4.51,70.96,82.12,11.16,NA,"..","..",679.28198,NA,NA,NA,5.82283606,NA,NA,99,99,99,99,0,0,0,0,0,0.2,1
"182","Macedonia",6.461362145,53.61418004,13.51227687,60.73611925,9.040564979,80.6383369,NA,26392,94.9,NA,NA,857.1451445,758.68,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.59,74.82,9.23,552.747767,NA,NA,304.88303,NA,NA,NA,4.10142063,1.38e+09,94,92,91,92,89,0,0,0,1,0,0.4,9
"183","Madagascar",2.288021446,85.37612576,10.40111937,91.13901044,4.99719585,97.22270523,NA,54971,3.7,NA,NA,76.74339356,58.14,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.21,62.68,7.47,21.31132515,NA,NA,16.622654,NA,NA,NA,1.47341461,1.1243e+11,70,69,69,71,58,200,1,413,3,1627,49,12000
"184","Malawi",0.922581649,91.73364064,3.840526239,93.98977943,1.670127549,97.62437146,NA,70678,NA,NA,NA,108.1896442,90.27,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.71,60.18,7.46,70.44120082,NA,NA,11.881274,NA,NA,NA,5.99862084,1.6338e+11,90,88,88,88,87,2,0,0,0,0,13,2300
"185","Malaysia",3.123561604,90.89023358,2.804414366,89.13826035,4.095827392,93.39694904,NA,29765,100,NA,NA,1063.888395,938.29,66.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.42,75.56,9.14,592.6871707,NA,NA,370.69351,NA,37,4,2.30029002,6.2e+08,99,99,99,99,93,20,0,939,1318,4,7.9,2400
"186","Maldives",NA,NA,NA,NA,NA,NA,NA,25036,30,NA,NA,1513.882431,1259.6,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.13,79.32,10.2,1348.365245,NA,NA,247.58975,NA,NA,NA,10.75705209,1.06e+09,99,99,99,99,99,0,0,0,0,0,5.4,20
"187","Mali",2.225519326,65.50021114,17.1458224,86.73361624,4.690276192,94.31488841,NA,75910,1.9,NA,NA,118.4518361,122.31,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.69,61.84,8.15,30.58858068,NA,NA,54.852081,NA,NA,NA,1.95543294,1.3294e+11,79,68,68,76,76,19,0,0,215,0,9.4,1700
"188","Malta",2.016089401,79.49439766,6.252081044,84.33553014,5.231021171,94.33868958,1.619936347,19507,100,NA,NA,3470.896993,2651.86,85.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.93,81.43,10.5,NA,NA,NA,1287.7975,NA,NA,NA,6.74343039,NA,96,95,97,97,89,0,0,0,2,0,0.2,1
"189","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862.8135206,703.13,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4,64.92,8.51,556.5526682,NA,NA,85.86377,NA,NA,NA,14.44916839,2.1e+08,99,85,85,85,75,0,0,0,0,0,44,23
"190","Mauritania",1.832958504,74.21991728,9.6241817,81.22913385,5.227755681,90.54428792,NA,58285,6,NA,NA,177.0806661,137.66,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.99,70.16,9.17,72.79678754,NA,NA,85.419205,NA,NA,NA,1.87101626,1.33e+10,85,73,73,67,70,2,0,0,1,0,21,840
"191","Mauritius",1.744295152,62.93665164,17.02140053,84.21656366,5.42960616,95.70872582,NA,30076,100,NA,NA,1098.625455,863.89,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.86,74.58,9.72,454.7446172,NA,NA,556.64081,NA,NA,NA,2.36468574,1.8e+08,98,97,97,98,99,0,0,1,0,0,1.5,19
"192","Mayotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Melanesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0111e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Mexico",1.003724047,88.97181011,6.539340492,90.73352713,4.762752716,98.15518788,NA,26763,85.6,NA,"956.2196",1008.676198,1061.13,62.6,44125,0.36,NA,NA,124703,1.02,168828,1.38,NA,NA,3221,26.1,NA,NA,4629,37.51,NA,NA,NA,NA,NA,19,0.15,NA,NA,NA,NA,4215,0.03,0.01,1461,1389,11.26,0.16,19092,168828,NA,1.38,67.06,76.38,9.32,560.8251266,"..","..",417.28952,NA,19,6,3.25955157,9.6e+08,96,82,87,87,97,27,0,1107,0,0,2.1,2600
"195","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.266529,NA,NA,NA,NA,9.32e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Micronesia (country)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.9349295,448.1,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.1641708,NA,NA,NA,NA,NA,NA,12.43375206,NA,70,78,72,71,91,0,0,0,0,0,14,14
"197","Middle Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2623e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Middle East",3,79,6,86,3,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Middle East & North Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1056.619047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Middle East & North Africa (all income levels)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Middle East & North Africa (developing only)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Middle East & North Africa (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723.8337885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Middle East & North Africa (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723.8337885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.6007486,498.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Middle SDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.09,74.18,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Moldova",6.880686774,44.33838283,10.74900774,48.94585184,7.265897063,65.59667679,NA,35472,75.7,NA,NA,515.3230735,553.35,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.28,72.25,8.97,266.1060597,NA,NA,238.01622,NA,NA,NA,5.30398831,1.13e+10,97,88,87,88,89,0,0,50,0,0,7.7,310
"207","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3406.868928,6122.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.57016,NA,NA,NA,3.84109846,NA,89,99,99,99,99,1,0,5,5,0,0,0
"208","Mongolia",4.258527637,74.43747462,15.97529209,88.99625331,5.249929689,93.17876539,NA,42935,81.9,NA,NA,469.563584,566.83,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.91,68.12,8.21,314.7894229,NA,NA,184.5154,NA,NA,NA,2.62057288,4.9e+09,99,99,99,99,98,0,0,0,20359,0,22,640
"209","Montenegro",6.923310581,44.35211798,13.43791788,52.23004196,7.032891017,68.04478747,NA,26702,95,NA,NA,957.0148208,926.37,80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.13,77.04,9.91,565.1460656,NA,NA,304.52347,NA,23,6,3.66738093,9e+07,88,82,89,89,64,0,0,0,0,0,0.4,3
"210","Montserrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Morocco",1.665594377,79.86947394,3.873115668,75.94501769,4.317192776,94.78751829,NA,38061,42.3,NA,NA,435.2900287,438.24,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.97,75,11.03,150.580693,NA,NA,231.06967,NA,NA,NA,2.00132628,3.89e+09,99,99,99,99,99,23,0,72,17,0,9.4,3200
"212","Mozambique",1.000706274,91.18510944,4.376628804,76.8353969,9.172431708,97.17655254,NA,88491,NA,NA,NA,63.74393076,70.98,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.08,60.02,7.94,44.77314529,NA,NA,4.3641877,NA,NA,NA,3.93673477,2.3915e+11,95,80,80,80,85,281,0,0,79,0,74,21000
"213","Myanmar",0.72673444,91.49710827,4.199570654,92.56822421,3.110229716,97.96921356,NA,48793,NA,NA,NA,267.2280328,36.66,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.56,70.02,8.46,51.01666168,NA,NA,197.51004,NA,NA,NA,1.0448998,9.451e+10,86,75,75,76,86,73,0,5,6,87,49,27000
"214","Namibia",4.444738826,83.5422949,11.16687438,78.6203996,15.70631506,94.24239902,NA,48404,28,NA,NA,942.4741866,749.37,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.47,64.77,8.3,536.2708304,NA,NA,78.47451,NA,NA,NA,5.3571377,4.04e+09,94,92,92,92,85,0,0,0,212,0,32,780
"215","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1063.905425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.349661,NA,NA,NA,2.86766633,7.54e+09,99,91,91,91,98,0,0,0,11,0,9.2,1
"216","Nepal",1.048351541,92.11685934,3.303721329,85.84539108,6.805773021,98.24326382,NA,43324,0.1,NA,NA,150.5903691,134.6,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.37,70.86,9.49,56.10234496,NA,NA,90.96965,NA,NA,NA,2.33781912,9.946e+10,94,91,91,90,85,888,0,4416,1599,26,20,5600
"217","Netherlands",5.665388279,67.63927552,16.95792187,76.49254636,10.82331752,90.18115883,1.335178614,18770,98.9,6.9,"4885.5541",5313.243391,5601.11,89.5,NA,NA,56886,3.32,0,0,50047,2.92,0.57,9710,411,23.99,76,4.44,545,31.81,5007,0.29,1.58,4295,25.29,134,7.82,11.74,201150,4.54,77835,15541,0.91,0.23,4021,0,0,0.42,7172,56886,1.05,3.32,70.7,81.64,10.94,NA,"..","..",650.96637,NA,19,11,9.48113273,NA,NA,94,95,95,95,0,0,8960,140,0,0.2,34
"218","New Zealand",5.612593004,72.10683775,9.809272194,82.04965287,6.628885679,87.07706163,NA,18742,100,5.7,"3183.9663",3530.096913,3405.16,86.2,1520,0.31,465,0.1,10717,2.2,12597,2.59,0.61,2936,52,10.69,53,10.9,165,33.92,105,0.02,0.14,3066,50.56,29,5.96,11.58,56355,3.5,17027,1452,0.3,0.19,936,84,17.27,0.71,3466,12702,1.88,2.61,70.8,81.48,10.68,NA,"..","..",422.60583,NA,NA,NA,9.08265634,NA,NA,92,92,92,93,1,0,1168,10,2,0.2,10
"219","Nicaragua",0.375851358,92.87534922,2.770323364,90.24229532,3.758582133,99.44766517,NA,33239,12.2,NA,NA,405.9922707,381.76,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.92,78.27,9.35,252.6905829,NA,NA,146.10959,NA,NA,NA,5.09579767,1.948e+10,98,98,98,99,99,3,0,36,0,0,2.5,150
"220","Niger",4.174073069,86.76437259,7.241705941,91.90016094,3.445577981,93.9277193,NA,70093,3.1,NA,NA,68.46968478,60.25,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.02,61.68,7.66,30.53475865,NA,NA,35.789703,NA,NA,NA,2.38630659,6.702e+10,77,65,65,65,73,24,0,0,7693,0,19,3800
"221","Nigeria",3.237375922,91.14849163,4.9520462,80.92018016,15.96620222,96.21776329,NA,84764,2.2,NA,NA,215.223799,217.1,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.28,65.02,8.74,54.80384636,NA,NA,155.4747,NA,NA,NA,0.92253513,6.9788e+11,68,56,56,55,54,53,35,6592,12423,0,99,180000
"222","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.948422,NA,NA,NA,7.32410003,3e+07,99,99,99,99,99,0,0,0,0,0,3.5,0
"223","North Africa",2,85,4,84,3,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
