"standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
1.79050243262,39681,100,331.3576231,46.6,0.6573,0.1142,3.7381,3.6032,1.1198,10.9312,14.7912,26.4843,0.5821,61.4934,1.6651,10.1793,4.8348,0.6068,0.1374,16.0011,0.6387,2.66084833333333,8.17,70.953873,1.428e+10
1.746749282,19843,100,3996.436879,89.6,0.15,0.5123,3.13,2.8,1.01,14.34,23.6,44.84,0.41,85.96,4.9006,19.69,3.84,0.39,0.24,30.5,0.56,3.28,11.21,794.92712,11460097995.2088
1.926970959,19104,99.9,4542.307106,87.9,1.45,0.84,3.68,3.09,0.9682,14.99,28.65,45.55,0.47,66.2698,10.17,16.4528,4.7206,0.84,0.23,20.4,0.48,5.98,10.64,308.73276,16272011438.1369
1.70793252235,58498,57.6,480.8514802,51.4,0.665,0.2452,2.8049,2.5021,1.1744,10.849,15.6934,26.5598,0.5135,62.0733,1.7022,8.595,4.1895,0.4607,0.1162,15.5323,0.5318,1.85958404761905,8.94,124.56293,3.29e+09
1.79001543049,62697,99.9,114.0747188,49.7,0.779700000000001,0.4179,3.7417,3.5818,1.1801,11.1866,14.3908,27.0805,0.6086,62.8685,2.5827,10.503,4.7022,0.6151,0.176,16.2911,0.6458,2.10749833333333,9.07,23.163185,2.127e+10
1.7052695835,29323,25,717.7162423,62.1,0.5412,0.2295,2.7752,2.4575,1.1695,10.5506,15.1215,26.6147,0.4766,60.5283,1.5773,8.5476,4.2775,0.458,0.117,14.4609,0.5464,2.27308333333333,8.9,411.42606,3.98e+09
1.89417088991,19224,100,5356.811177,86.4,2.43,2.31,3.26,6.02,1.18,16.08,19.26,37.31,0,74.1818,11.74,19.5388,6.1,1.28,0.27,9.5,1.18,8,10.7,671.1239,16799967289.7981
1.78398382193,58375,73.9,249.328504,49.7,0.8118,0.5061,3.669,3.4397,1.1806,10.7332,14.6456,27.4323,0.5762,63.695,2.5669,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,1.90467333333333,8.08,90.020622,1.4816e+11
1.84346360804,19627,100,2204.354384,87,1.38,0.08,2.74,3.6,1.23,13.67,16.18,25.76,0.57,58.0782,0.46,12.5739,6.07,0.74,0.25,11.62,1.32,4.21,10.34,781.69025,10323668562.8388
1.78398382193,37079,30,443.9018463,55.7,0.7925,0.4413,3.7021,3.4397,1.1701,10.8153,14.6641,27.2015,0.5624,63.7082,2.5756,10.5407,4.8248,0.583,0.1656,16.1347,0.6102,2.55470904761905,8.89,247.54504,4.64e+10
1.78398382193,72518,0.2,57.19135929,38.6,0.8061,0.5181,3.669,3.4397,1.1806,11.6194,14.7065,27.3805,0.5958,63.4652,2.5669,10.2844,4.7108,0.5836,0.1632,16.5153,0.5838,1.65017333333333,7.76,31.166372,1.3984e+11
1.78398382193,83441,1.6,100.2957262,36.3,0.8118,0.5061,3.667,3.4397,1.1806,10.7332,14.6641,27.2015,0.5762,63.695,2.5669,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,1.99347333333333,7.37,37.274281,1.847e+10
1.70793252235,55470,23.8,336.1484296,49.8,0.6639,0.2401,2.8049,2.4741,1.1744,10.9686,15.6888,26.5802,0.5119,62.0733,1.6122,8.5625,4.1864,0.4569,0.113,15.6453,0.5286,1.83389833333333,8.57,136.16254,1.79e+09
1.78398382193,61717,3.1,120.1457421,38.5,0.8118,0.5061,3.667,3.4397,1.1806,10.7332,14.6641,27.2015,0.5762,63.695,2.5669,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,1.96562333333333,8.07,43.579815,5.685e+10
1.78398382193,33106,12,353.3645701,53.9,0.7936,0.4553,3.6604,3.4397,1.1824,10.8153,14.6641,27.2015,0.5624,63.7082,2.5756,10.274,4.786,0.5838,0.1653,16.1347,0.6083,2.26190904761905,8.4,173.59322,3.594e+10
1.81396656396,28707,100,1912.069053,79.6,0.02,0.21,6.96,4.27,1,1.2,14.64,16.86,1.22,62.57,2.91,11.8,5.68,0.87,0.15,13.24,0.68,7.02,9.92,555.2157,13288256019.492
