"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
1642.51,"4",29.97419,45541.8921,12.645355285,29.09,4.13,21.503,63.1610000000001,15.611,1534.88,5.596,-0.000816915545400869
2020.86,"4",33.14105,61372.7301,8.02940541499998,31.51,3.073,22.097,62.2080000000001,15.715,2013.28,8.745,-0.00101606986640119
217.17999,"2",37.5146,3349.4597,100.503094925,4.075,4.4,55.4,33.5,11.1,199.9231,16.10477,-0.00260695570275436
192.72,"2",33.99572,4440.3819,274.465108,4.46,13.2,21.3,52.3,26.4,104.75,16.53419,-0.000670712687900539
78.599998,"1",40.49123,2874.9629,4526.68255,1.44,65.6,18.3,26.4,55.3,81.08,18.33421,-0.000267837086646764
477.04999,"3",34.85572,16648.6237,0,5.43,0.9,41,39,20,449.2,14.32358,-0.00259720615470302
82.519997,"1",43.05614,1451.3609,1033.280325,2.1,50.1,22,32.7,45.3,79.87,18.55971,-0.000187200242505825
302.64999,"4",40.27296,28549.4083,1.2170925,8.59530000000001,5.6,1.3,94.3,4.4,302.77,14.36445,-0.00248240905630836
334.19,"2",32.81588,11353.8865,12.8387655,3.97,1.2,48.1,25.7,26.2,288.18,15.08203,-0.00180968695264301
567.58002,"3",41.90911,19270.2202,31.715142,2.82,7.701,25.152,41.964,32.45,517.27,19.91002,-0.000715362766336185
96.959999,"1",42.75369,2045.4203,2612.213385,1.46,69.9,15.6,34.1,50.4,103.07,19.05284,-0.000161453771985012
350.12,"2",26.61947,9813.3637,0,5.94,1.2,1.4,94.2,4.4,384.28,13.54748,-0.00312823044585895
1548.1752917,"4",25.96615,76397.8181,6.26268642499999,27.5951,3.178,20.852,63.6170000000001,15.274,1580.5849,6.96759,-0.0010337378186116
