"religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","population_x","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un","population_by_country_and_region_historic_and_projections_gapminder_hyde_un","share_of_world_population"
11.134,65.4,70.85,30.3,28.4,4574.614403,7.48641833197,64.263,18629000,61,22.59813348,23.26532312,21.8,38,26610,15299,19647681,66559386,0.0025
12.792,8.2,7.79,5.9,15.6,573.4911005,10.34507419276,76.156,31950000,74.5,25.40068289,26.30422774,3.9,4,2978,2002,32776195,40078167,0.0042
16.545,8.6,8.47,5.7,40,627.7546001,7.81718134005,78.921,531000,76.4,24.84316797,26.55675736,4.9,0,43,33,543620,490058,1e-04
10.623,114.7,127.42,36.8,46.2,7457.332333,7.40848668093,59.306,19658000,57.2,22.99991795,23.18221551,37.8,104,61503,34654,20855724,80382697,0.0026
12.435,5.9,6.56,4,6.9,510.3950935,8.67119899227,82.53,440000,80.3,27.9549695,26.59676335,4.4,0,22,17,442790,357732,1e-04
15.666,84.7,49.27,32.6,40.8,3387.681805,5.99500246325,64.925,4526000,62.8,23.36943897,26.75406167,35.7,5,3897,2580,4775110,17064607,6e-04
13.871,13.5,14.74,8.9,13.2,1223.68286,7.128447902,74.991,1270000,74.1,24.67017349,26.06693249,8.4,0,151,112,1273428,827303,2e-04
26.4,13.2,17.38,12.3,17.1,1090.74491,5.239538336,75.054,127576000,76.5,27.63516419,28.5927059,7,33,26935,14311,130262220,141509942,0.0165
12.48,15.8,16.36,9.6,7.3,1415.151935,7.48988949151,71.901,4043000,71.3,26.78111685,27.58411562,11.9,1,509,420,4024025,2011568,5e-04
15.759,3.5,6.4584,4.951,8.946,467.964573319,8.08226207444,86.751,39000,78.492,26.6770076138,25.6783255152,1.9,11.83,3556.54,2639.84,39520,64364,0
12.771,4.7,4.26,4.4,7.4,322.9366836,9.34149037492,76.884,628000,76,27.17491841,26.29841226,3.1,0,23,17,628051,453656,1e-04
5.4,27.6,21.93,14,16.791,1974.792896,7.33162161258,76.68,36472000,73.6,25.5612347,26.69405022,17.6,14,11758,8099,37344787,44707864,0.0047
10.856,80.6,79.13,35.6,33.8,5656.85676,7.40523146294,60.854,30366000,54.6,22.06723557,23.49925099,27.1,73,53899,25060,32163045,123646947,0.0041
