"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","cost_of_calorie_sufficient_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","infant_mortality_rate","income_support","containment_index","yll_rates_from_all_air_pollution_per_100_000","death_rates_from_all_air_pollution_per_100_000"
"61",56.893,2.895735,0.677560681,257.7997503,5.788,7.2485658,215.53,0.34,25.4,11.93,21.49,662.25,-0.00189108160937082,3.537,21.706,14.168,19627,0.08,0.57,11.62,1.32,352.2865839,2,58.99,2426.21634,149.9863076
"62",204.571,31.626037261,1.01978847087,304.257022024,6.262,8.933383,165.83,2.16,26.4,50.47,118.24,259.89999,-0.000756318932400049,11.901,42.257,14.606,37079,1.3339,0.5335,14.301,0.4716,2194.79736,0,57.5,1084.084996,33.19464194
"63",5.406,90.28445,0.903217626,346.5059072,4.768,6.7504811,382.26,28.13,11.5,19.77,83.14,87.300003,-0.000554344258960965,75.1,38.1,20.24051,72518,1.5122,0.877,15.9568,0.6004,6132.247871,0,67.62,4556.911368,96.64524573
"64",20.833,92.62132,0.925029393,315.651056,4.54582,7.3624409,495.16,33.15,13.7,32.36,112.28,69.18,-0.000676508853412645,77.5,41.8,18.57875,83441,1.4483,0.8919,16.9126,0.5729,5215.989147,0.24,40.1255,4966.64859,115.9978308
"65",151.292,39.30348,0.726962015,398.6339337,5.993,9.0633936,495.73,1.54,27.1,36.09,159.01,202.89,-0.00101218224088523,3.2,45,19.34149,55470,0.6338,0.9872,15.5224,0.5088,2003.709588,1,68.81,1838.461538,57.49674055
"66",20.346,82.16744,1.094127898,392.515182,3.615,8.5517711,544.45,8.02,26.9,38.25,134.81,104.7,-0.000487013059115668,49.4,51.8,20.02826,61717,1.349,1.0042,16.8918,0.5256,4916.711501,1,63.21,2292.437681,59.09812342
"67",266.442,48.85315,1.145273549,304.8500762,5.93,8.4891994,315.58,2.61,26.9,58.97,104.03,239.57001,-0.000554036565780572,15.8,44,20.59704,33106,1.4313,0.7451,14.8813,0.4168,1091.73737,1,72.38,727.2198142,26.15479876
"68",163.348,3.021302,0.45006955,310.8679202,6.038,8.9001676,361.76,0.51,24.6,8.6,27.37,650.71997,-0.00140126325439343,3.359,28.779,10.427,28707,0.21,1.22,13.24,0.68,394.3886029,0,44.05,3809.518011,188.4018265
"69",32.234,0.01792546,0.382420976,199.3888126,7.575,7.6316878,147.84,0.39,19.4,5.54,15.54,1527.02,-0.0028226211788212,4.056,21.592,6.068,17257,0,0.36,22.96,0.74,150.2604665,2,51.79,707.2948328,43.16109422
"70",86.963,71.48567,0.788195593,268.9312061,4.225,9.053893,344.27,5.71,5.1,27.09,80.67,111.83,-0.000503763899976127,53.7,42.5,19.656,47950,1.4219,0.87,14.2349,0.6358,3622.58324,0,72.68,4197.1737,141.3716697
"71",49.4,71.30388,1.020366482,422.4718158,5.347,7.4193282,384.93,1.84,8.9,20.78,83.27,190.66,-1.94231993357779e-05,15.5,26.7,19.68437,36015,1.226,1.1022,15.8931,0.5509,2249.603275,1,72.44,2047.758529,67.7047358
"72",396.45,10.49139,0.870882295,289.0106306,4.865,11.3852069,352.24,1.41,32.2,20.78,59.15,493.39001,-0.000540410500817112,5.032,32.115,19.66473,30911,0.4409,0.7501,13.1217,0.4682,1392.306919,1,67.08,1982.833862,85.17994375
"73",266.617,50.81578,1.164338457,327.4819287,4.785,17.2299941,613.13,3.37,37,50.48,142.58,178.81,-0.00206346592786029,11.6,10.3,19.87295,38798,1.1546,0.7723,14.6164,0.5144,1913.346863,1,69.35,2528.138952,79.51844052
"74",382.762,0.3353735,0.577231411,206.3962812,7.035,7.3088405,159.45,0.32,25.5,9.19,22.99,1408.09,-0.000599450776674737,9.16799999999999,39.477,9.403,19319,1.5251,0.15,13.655,0.47,310.7764911,2,62.5,1171.906997,65.0383959
"75",286.868,0.9977683,0.508129071,223.5212365,7.195,7.0922374,119.21,0.37,26.2,22.52,56.8,1097.22,-0.00088353545836332,4.853,34.997,19.317,17719,0.59,0.53,4.17,0.61,285.1116599,2,61.31,1675.868056,94.69246032
"76",623.534,2.472911,0.316287353,258.4407102,6.488,7.0540891,144.02,0.22,19.5,8.78,26.86,1227.58,-0.00028657815200724,3.454,32.565,12.9,16957,0.13,0.14,7.12,0.99,265.355629,1,81.55,2077.96101,136.2470453
"77",66.19,52.39908,1.014786055,459.2750456,6.309,9.2817333,248.65,1.73,33.4,30.32,147.02,366.34,-0.00119220487905541,1.8,41.6,17.86205,32646,0.6543,0.807999999999999,15.9123,0.4898,1665.110074,0,75.36,1208.77193,56.56999642
